"";"player_id";"first_name";"last_name";"hand";"birth_date";"country_code";"NA";"NA";"invalid";"name";"dob"
"645";238;"Alexander";"Zverev";"R";"19970420";"GER";"198";"Q4189526";FALSE;"Alexander Zverev";1997-04-20
"2149";201;"Fabrice";"Santoro";"R";"19721209";"FRA";"178";"Q312726";FALSE;"Fabrice Santoro";1972-12-09
"2784";202;"Rainer";"Schuettler";"R";"19760425";"GER";"180";"Q76760";FALSE;"Rainer Schuettler";1976-04-25
"3164";97;"Tommy";"Haas";"R";"19780403";"GER";"188";"Q53560";FALSE;"Tommy Haas";1978-04-03
"3229";45;"Marcos";"Daniel";"R";"19780704";"BRA";"180";"Q462445";FALSE;"Marcos Daniel";1978-07-04
"3286";215;"Radek";"Stepanek";"R";"19781127";"CZE";"185";"Q309395";FALSE;"Radek Stepanek";1978-11-27
"3334";116;"Ivo";"Karlovic";"R";"19790228";"CRO";"208";"Q295483";FALSE;"Ivo Karlovic";1979-02-28
"3345";137;"Ivan";"Ljubicic";"R";"19790319";"CRO";"193";"Q261095";FALSE;"Ivan Ljubicic";1979-03-19
"3374";193;"Sergio";"Roitman";"R";"19790516";"ARG";"185";"Q703815";FALSE;"Sergio Roitman";1979-05-16
"3429";37;"Juan Ignacio";"Chela";"R";"19790830";"ARG";"190";"Q299377";FALSE;"Juan Ignacio Chela";1979-08-30
"3485";24;"James";"Blake";"R";"19791228";"USA";"185";"Q53333";FALSE;"James Blake";1979-12-28
"3499";199;"Marat";"Safin";"R";"19800127";"RUS";"193";"Q133318";FALSE;"Marat Safin";1980-01-27
"3508";72;"Juan Carlos";"Ferrero";"R";"19800212";"ESP";"183";"Q185722";FALSE;"Juan Carlos Ferrero";1980-02-12
"3566";190;"Stephane";"Robert";"R";"19800517";"FRA";"185";"Q552542";FALSE;"Stephane Robert";1980-05-17
"3567";138;"Michael";"Llodra";"L";"19800518";"FRA";"190";"Q295488";FALSE;"Michael Llodra";1980-05-18
"3599";145;"Xavier";"Malisse";"R";"19800719";"BEL";"185";"Q312620";FALSE;"Xavier Malisse";1980-07-19
"3603";92;"Fernando";"Gonzalez";"R";"19800729";"CHI";"183";"Q208517";FALSE;"Fernando Gonzalez";1980-07-29
"3608";66;"Victor";"Estrella";"R";"19800802";"DOM";"173";"Q548522";FALSE;"Victor Estrella";1980-08-02
"3657";161;"Albert";"Montanes";"R";"19801126";"ESP";"175";"Q299374";FALSE;"Albert Montanes";1980-11-26
"3721";104;"Lleyton";"Hewitt";"R";"19810224";"AUS";"180";"Q180104";FALSE;"Lleyton Hewitt";1981-02-24
"3782";155;"Jurgen";"Melzer";"L";"19810522";"AUT";"183";"Q223549";FALSE;"Jurgen Melzer";1981-05-22
"3787";49;"Nikolay";"Davydenko";"R";"19810602";"RUS";"178";"Q191736";FALSE;"Nikolay Davydenko";1981-06-02
"3795";15;"Benjamin";"Becker";"R";"19810616";"GER";"178";"Q77176";FALSE;"Benjamin Becker";1981-06-16
"3813";100;"Victor";"Hanescu";"R";"19810721";"ROU";"198";"Q316378";FALSE;"Victor Hanescu";1981-07-21
"3814";171;"Jarkko";"Nieminen";"L";"19810723";"FIN";"185";"Q10270";FALSE;"Jarkko Nieminen";1981-07-23
"3820";70;"Roger";"Federer";"R";"19810808";"SUI";"185";"Q1426";FALSE;"Roger Federer";1981-08-08
"3853";140;"Feliciano";"Lopez";"L";"19810920";"ESP";"188";"Q223695";FALSE;"Feliciano Lopez";1981-09-20
"3889";73;"Mardy";"Fish";"R";"19811209";"USA";"188";"Q53422";FALSE;"Mardy Fish";1981-12-09
"3894";141;"Paolo";"Lorenzi";"R";"19811215";"ITA";"183";"Q708313";FALSE;"Paolo Lorenzi";1981-12-15
"3899";19;"Julien";"Benneteau";"R";"19811220";"FRA";"185";"Q313402";FALSE;"Julien Benneteau";1981-12-20
"3901";170;"David";"Nalbandian";"R";"19820101";"ARG";"180";"Q181501";FALSE;"David Nalbandian";1982-01-01
"3909";149;"Paul Henri";"Mathieu";"R";"19820112";"FRA";"185";"Q310349";FALSE;"Paul Henri Mathieu";1982-01-12
"3918";143;"Nicolas";"Mahut";"R";"19820121";"FRA";"190";"Q317974";FALSE;"Nicolas Mahut";1982-01-21
"3971";71;"David";"Ferrer";"R";"19820402";"ESP";"175";"Q191476";FALSE;"David Ferrer";1982-04-02
"3991";191;"Tommy";"Robredo";"R";"19820501";"ESP";"180";"Q213199";FALSE;"Tommy Robredo";1982-05-01
"3998";128;"Lukasz";"Kubot";"R";"19820516";"POL";"190";"Q345626";FALSE;"Lukasz Kubot";1982-05-16
"4023";235;"Mikhail";"Youzhny";"R";"19820625";"RUS";"183";"Q219970";FALSE;"Mikhail Youzhny";1982-06-25
"4054";192;"Andy";"Roddick";"R";"19820830";"USA";"188";"Q54584";FALSE;"Andy Roddick";1982-08-30
"4069";86;"Robby";"Ginepri";"R";"19821007";"USA";"183";"Q53551";FALSE;"Robby Ginepri";1982-10-07
"4123";22;"Carlos";"Berlocq";"R";"19830203";"ARG";"183";"Q440468";FALSE;"Carlos Berlocq";1983-02-03
"4181";164;"Gilles";"Muller";"L";"19830509";"LUX";"193";"Q314304";FALSE;"Gilles Muller";1983-05-09
"4199";80;"Guillermo";"Garcia Lopez";"R";"19830604";"ESP";"188";"Q304724";FALSE;"Guillermo Garcia Lopez";1983-06-04
"4215";6;"Igor";"Andreev";"R";"19830714";"RUS";"185";"Q296183";FALSE;"Igor Andreev";1983-07-14
"4230";142;"Yen Hsun";"Lu";"R";"19830814";"TPE";"180";"Q313144";FALSE;"Yen Hsun Lu";1983-08-14
"4253";151;"Florian";"Mayer";"R";"19831005";"GER";"190";"Q77170";FALSE;"Florian Mayer";1983-10-05
"4260";123;"Philipp";"Kohlschreiber";"R";"19831016";"GER";"178";"Q77149";FALSE;"Philipp Kohlschreiber";1983-10-16
"4269";69;"Alejandro";"Falla";"L";"19831114";"COL";"185";"Q357215";FALSE;"Alejandro Falla";1983-11-14
"4270";230;"Fernando";"Verdasco";"L";"19831115";"ESP";"188";"Q191740";FALSE;"Fernando Verdasco";1983-11-15
"4274";229;"Edouard Roger";"Vasselin";"R";"19831128";"FRA";"188";"Q274441";FALSE;"Edouard Roger Vasselin";1983-11-28
"4292";112;"Malek";"Jaziri";"R";"19840120";"TUN";"185";"Q440477";FALSE;"Malek Jaziri";1984-01-20
"4297";61;"Rogerio";"Dutra Silva";"R";"19840203";"BRA";"178";"Q600087";FALSE;"Rogerio Dutra Silva";1984-02-03
"4312";205;"Andreas";"Seppi";"R";"19840221";"ITA";"190";"Q319572";FALSE;"Andreas Seppi";1984-02-21
"4327";47;"Steve";"Darcis";"R";"19840313";"BEL";"178";"Q164531";FALSE;"Steve Darcis";1984-03-13
"4338";159;"Juan";"Monaco";"R";"19840329";"ARG";"185";"Q294888";FALSE;"Juan Monaco";1984-03-29
