"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"405909";"2005-410";"Monte Carlo Masters";"Clay";"64";"Masters";13;74;"Rafael Nadal";"L";185;"ESP";18,8;69;"Gael Monfils";"R";193;"FRA";18,6;"6-3 6-2";3;"R64";84;0;0;55;38;24;9;9;4;6;1;0;52;27;15;8;8;3;8;17;1340;106;406;6;6;NA;NA;NA;3;2;NA;NA;NA;2005-04-11;2005;"2005-410:13";1;0;1,91253715874966;-0,727920454563199;69;"Gael Monfils";74;"Rafael Nadal";-0,727920454563199;1,91253715874966;-2,64045761331286;18,6;18,8;-0,199999999999999;193;185;8;0,666666666666667;0,375;0,375;0,666666666666667;-0,291666666666667;8;6;3;4;5;2;2;5;-3;0;1;0
"405957";"2005-410";"Monte Carlo Masters";"Clay";"64";"Masters";61;74;"Rafael Nadal";"L";185;"ESP";18,8;40;"Richard Gasquet";"R";185;"FRA";18,8;"6-7(6) 6-4 6-3";3;"SF";165;2;3;112;79;44;16;16;9;14;2;1;115;57;31;27;15;5;12;17;1340;101;420;6;6;6;NA;NA;7;4;3;NA;NA;2005-04-11;2005;"2005-410:61";2;0;1,91253715874966;-0,658211482751795;40;"Richard Gasquet";74;"Rafael Nadal";-0,658211482751795;1,91253715874966;-2,57074864150146;18,8;18,8;0;185;185;0;0,642857142857143;0,416666666666667;0,416666666666667;0,642857142857143;-0,226190476190476;12;14;5;9;7;5;5;7;-2;0;1;0
"407326";"2005-416";"Rome Masters";"Clay";"64";"Masters";3;107;"Stan Wawrinka";"R";183;"SUI";20;8;"Tomas Berdych";"R";196;"CZE";19,6;"6-1 6-4";3;"R64";66;3;2;61;39;26;13;9;3;4;2;2;44;24;16;5;8;0;4;99;421;47;811;6;6;NA;NA;NA;1;4;NA;NA;NA;2005-05-02;2005;"2005-416:3";3;0;-0,62935662007961;0,445411148322362;8;"Tomas Berdych";107;"Stan Wawrinka";0,445411148322362;-0,62935662007961;1,07476776840197;19,6;20;-0,399999999999999;196;183;13;0,75;0;0;0,75;-0,75;4;4;0;3;4;1;1;4;-3;0;1;0
"407348";"2005-416";"Rome Masters";"Clay";"64";"Masters";25;74;"Rafael Nadal";"L";185;"ESP";18,9;108;"Mikhail Youzhny";"R";183;"RUS";22,8;"6-0 6-2";3;"R64";60;1;2;41;24;19;10;7;1;2;1;1;40;28;12;3;7;3;9;7;2100;26;1185;6;6;NA;NA;NA;0;2;NA;NA;NA;2005-05-02;2005;"2005-416:25";4;1;3,1926450779424;1,29956028185891;74;"Rafael Nadal";108;"Mikhail Youzhny";3,1926450779424;1,29956028185891;1,89308479608349;18,9;22,8;-3,9;185;183;2;0,5;0,333333333333333;0,5;0,333333333333333;0,166666666666667;9;2;3;1;6;1;6;1;5;0;1;0
"407357";"2005-416";"Rome Masters";"Clay";"64";"Masters";34;105;"Fernando Verdasco";"L";188;"ESP";21,4;107;"Stan Wawrinka";"R";183;"SUI";20;"7-6(8) 6-2";3;"R32";99;7;2;78;66;45;6;10;6;7;1;4;65;40;25;15;10;2;5;56;685;99;421;7;6;NA;NA;NA;6;2;NA;NA;NA;2005-05-02;2005;"2005-416:34";5;1;0,192645077942396;-0,62935662007961;105;"Fernando Verdasco";107;"Stan Wawrinka";0,192645077942396;-0,62935662007961;0,822001698022006;21,4;20;1,4;188;183;5;0,857142857142857;0,4;0,857142857142857;0,4;0,457142857142857;5;7;2;6;3;1;3;1;2;0;1;0
"407383";"2005-416";"Rome Masters";"Clay";"64";"Masters";60;74;"Rafael Nadal";"L";185;"ESP";18,9;96;"Radek Stepanek";"R";185;"CZE";26,4;"5-7 6-1 6-1";3;"QF";129;0;0;78;58;42;10;13;2;4;2;3;82;51;30;13;13;5;11;7;2100;17;1330;5;6;6;NA;NA;7;1;1;NA;NA;2005-05-02;2005;"2005-416:60";6;1;3,1926450779424;1,91253715874966;74;"Rafael Nadal";96;"Radek Stepanek";3,1926450779424;1,91253715874966;1,28010791919273;18,9;26,4;-7,5;185;185;0;0,5;0,454545454545455;0,5;0,454545454545455;0,0454545454545455;11;4;5;2;6;2;6;2;4;0;1;0
"407385";"2005-416";"Rome Masters";"Clay";"64";"Masters";62;74;"Rafael Nadal";"L";185;"ESP";18,9;34;"David Ferrer";"R";175;"ESP";23;"4-6 6-4 7-5";3;"SF";149;0;0;102;71;43;16;16;1;7;2;4;82;51;31;14;16;2;9;7;2100;25;1210;4;6;7;NA;NA;6;4;5;NA;NA;2005-05-02;2005;"2005-416:62";7;0;3,1926450779424;1,35614381022528;34;"David Ferrer";74;"Rafael Nadal";1,35614381022528;3,1926450779424;-1,83650126771712;23;18,9;4,1;175;185;-10;0,142857142857143;0,222222222222222;0,222222222222222;0,142857142857143;0,0793650793650794;9;7;2;1;7;6;6;7;-1;0;1;0
"430273";"2006-410";"Monte Carlo Masters";"Clay";"64";"Masters";1;33;"Roger Federer";"R";185;"SUI";24,6;28;"Novak Djokovic";"R";188;"SRB";18,9;"6-3 2-6 6-3";3;"R64";109;1;0;73;39;28;21;13;0;2;1;4;94;61;36;19;13;8;11;1;6810;67;606;6;2;6;NA;NA;3;6;3;NA;NA;2006-04-17;2006;"2006-410:1";8;0;6;-0,0660891904577721;28;"Novak Djokovic";33;"Roger Federer";-0,0660891904577721;6;-6,06608919045777;18,9;24,6;-5,7;188;185;3;0;0,727272727272727;0,727272727272727;0;0,727272727272727;11;2;8;0;3;2;2;3;-1;0;1;0
"431862";"2006-416";"Rome Masters";"Clay";"64";"Masters";31;106;"Filippo Volandri";"R";183;"ITA";24,6;72;"Andy Murray";"R";190;"GBR";18,9;"6-4 6-4";3;"R64";95;0;1;63;33;21;15;10;0;3;1;4;73;36;20;17;10;7;12;46;796;44;807;6;6;NA;NA;NA;4;4;NA;NA;NA;2006-05-08;2006;"2006-416:31";9;0;0,476438043942987;0,540568381362703;72;"Andy Murray";106;"Filippo Volandri";0,540568381362703;0,476438043942987;0,0641303374197157;18,9;24,6;-5,7;190;183;7;0;0,583333333333333;0,583333333333333;0;0,583333333333333;12;3;7;0;5;3;3;5;-2;0;1;0
"431879";"2006-416";"Rome Masters";"Clay";"64";"Masters";48;74;"Rafael Nadal";"L";185;"ESP";19,9;106;"Filippo Volandri";"R";183;"ITA";24,6;"6-1 6-2";3;"R32";71;0;1;52;34;27;9;8;4;4;1;1;36;28;10;5;7;2;6;2;4135;46;796;6;6;NA;NA;NA;1;2;NA;NA;NA;2006-05-08;2006;"2006-416:48";10;1;5;0,476438043942987;74;"Rafael Nadal";106;"Filippo Volandri";5;0,476438043942987;4,52356195605701;19,9;24,6;-4,7;185;183;2;1;0,333333333333333;1;0,333333333333333;0,666666666666667;6;4;2;4;4;0;4;0;4;0;1;0
