"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"367017";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";227;16;"Roger Federer";"R";185;"SUI";21,8;32;"Feliciano Lopez";"L";188;"ESP";21,7;"7-6(5) 6-4 6-4";5;"R16";126;9;2;104;69;48;17;16;3;6;13;3;127;80;51;24;16;13;18;5;2580;52;723;7;6;6;NA;NA;6;4;4;NA;NA;2003-06-23;2003;"2003-540:227";1;1;5,67807190511264;2,29956028185891;16;"Roger Federer";32;"Feliciano Lopez";5,67807190511264;2,29956028185891;3,37851162325373;21,8;21,7;0,100000000000001;185;188;-3;0,5;0,722222222222222;0,5;0,722222222222222;-0,222222222222222;18;6;13;3;5;3;5;3;2;1;0;0
"367027";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";237;16;"Roger Federer";"R";185;"SUI";21,8;44;"Andy Roddick";"R";188;"USA";20,8;"7-6(6) 6-3 6-3";5;"SF";103;17;0;84;51;42;25;15;2;2;4;0;99;57;42;21;15;5;8;5;2580;6;2390;7;6;6;NA;NA;6;3;3;NA;NA;2003-06-23;2003;"2003-540:237";2;1;5,67807190511264;5,41503749927884;16;"Roger Federer";44;"Andy Roddick";5,67807190511264;5,41503749927884;0,263034405833794;21,8;20,8;1;185;188;-3;1;0,625;1;0,625;0,375;8;2;5;2;3;0;3;0;3;1;0;0
"388063";"2004-540";"Wimbledon";"Grass";"128";"Grand Slams";239;16;"Roger Federer";"R";185;"SUI";22,8;44;"Andy Roddick";"R";188;"USA";21,8;"4-6 7-5 7-6(3) 6-4";5;"F";151;12;3;154;95;64;34;22;10;14;11;5;133;81;60;21;22;5;10;1;5610;2;4695;4;7;7;6;NA;6;5;6;4;NA;2004-06-21;2004;"2004-540:239";3;1;8;7;16;"Roger Federer";44;"Andy Roddick";8;7;1;22,8;21,8;1;185;188;-3;0,714285714285714;0,5;0,714285714285714;0,5;0,214285714285714;10;14;5;10;5;4;5;4;1;1;0;0
"411444";"2005-540";"Wimbledon";"Grass";"128";"Grand Slams";157;20;"Richard Gasquet";"R";185;"FRA";19;27;"Philipp Kohlschreiber";"R";178;"GER";21,6;"6-3 3-6 6-3 6-2";5;"R128";126;12;3;110;76;54;18;18;3;6;8;5;110;69;46;16;17;7;13;20;1340;61;630;6;3;6;6;NA;3;6;3;2;NA;2005-06-20;2005;"2005-540:157";4;1;3,67807190511264;2,06926266243711;20;"Richard Gasquet";27;"Philipp Kohlschreiber";3,67807190511264;2,06926266243711;1,60880924267552;19;21,6;-2,6;185;178;7;0,5;0,538461538461538;0,5;0,538461538461538;-0,0384615384615384;13;6;7;3;6;3;6;3;3;1;0;0
"411526";"2005-540";"Wimbledon";"Grass";"128";"Grand Slams";239;16;"Roger Federer";"R";185;"SUI";23,8;44;"Andy Roddick";"R";188;"USA";22,8;"6-2 7-6(2) 6-4";5;"F";101;12;0;79;49;40;22;15;1;2;7;1;96;68;46;11;15;5;9;1;6980;4;3590;6;7;6;NA;NA;2;6;4;NA;NA;2005-06-20;2005;"2005-540:239";5;1;8;6;16;"Roger Federer";44;"Andy Roddick";8;6;2;23,8;22,8;1;185;188;-3;0,5;0,555555555555556;0,5;0,555555555555556;-0,0555555555555556;9;2;5;1;4;1;4;1;3;1;0;0
"436164";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";113;16;"Roger Federer";"R";185;"SUI";24,8;20;"Richard Gasquet";"R";185;"FRA";20;"6-3 6-2 6-2";5;"R128";74;5;1;70;47;40;15;13;1;1;2;1;69;54;30;8;12;2;7;1;7260;50;760;6;6;6;NA;NA;3;2;2;NA;NA;2006-06-26;2006;"2006-540:113";6;1;8;2,35614381022528;16;"Roger Federer";20;"Richard Gasquet";8;2,35614381022528;5,64385618977472;24,8;20;4,8;185;185;0;1;0,285714285714286;1;0,285714285714286;0,714285714285714;7;1;2;1;5;0;5;0;5;1;0;0
"436262";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";211;14;"Novak Djokovic";"R";188;"SRB";19;55;"Mikhail Youzhny";"R";183;"RUS";24;"4-6 6-2 6-3 6-3";5;"R32";156;7;3;111;71;56;22;18;4;5;6;2;98;63;41;20;18;1;6;39;841;41;830;4;6;6;6;NA;6;2;3;3;NA;2006-06-26;2006;"2006-540:211";7;1;2,71459778113775;2,64244799538192;14;"Novak Djokovic";55;"Mikhail Youzhny";2,71459778113775;2,64244799538192;0,0721497857558351;19;24;-5;188;183;5;0,8;0,166666666666667;0,8;0,166666666666667;0,633333333333333;6;5;1;4;5;1;5;1;4;1;0;0
"436271";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";220;36;"Andy Murray";"R";190;"GBR";19,1;44;"Andy Roddick";"R";188;"USA";23,8;"7-6(4) 6-4 6-4";5;"R32";151;6;1;115;61;45;34;16;11;12;21;3;113;78;57;14;16;9;12;44;826;5;2430;7;6;6;NA;NA;6;4;4;NA;NA;2006-06-26;2006;"2006-540:220";8;1;2,5405683813627;5,67807190511264;36;"Andy Murray";44;"Andy Roddick";2,5405683813627;5,67807190511264;-3,13750352374994;19,1;23,8;-4,7;190;188;2;0,916666666666667;0,75;0,916666666666667;0,75;0,166666666666667;12;12;9;11;3;1;3;1;2;1;0;0
"436276";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";225;16;"Roger Federer";"R";185;"SUI";24,8;8;"Tomas Berdych";"R";196;"CZE";20,7;"6-3 6-3 6-4";5;"R16";83;21;1;72;49;41;17;14;1;1;1;3;84;57;36;13;14;3;7;1;7260;14;1635;6;6;6;NA;NA;3;3;4;NA;NA;2006-06-26;2006;"2006-540:225";9;0;8;4,1926450779424;8;"Tomas Berdych";16;"Roger Federer";4,1926450779424;8;-3,8073549220576;20,7;24,8;-4,1;196;185;11;1;0,428571428571429;0,428571428571429;1;-0,571428571428571;7;1;3;1;4;0;0;4;-4;1;0;0
"436281";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";230;3;"Marcos Baghdatis";"R";183;"CYP";21;36;"Andy Murray";"R";190;"GBR";19,1;"6-3 6-4 7-6(2)";5;"R16";113;7;1;92;60;47;21;16;3;4;8;7;91;48;36;20;15;2;5;16;1494;44;826;6;6;7;NA;NA;3;4;6;NA;NA;2006-06-26;2006;"2006-540:230";10;1;4;2,5405683813627;3;"Marcos Baghdatis";36;"Andy Murray";4;2,5405683813627;1,4594316186373;21;19,1;1,9;183;190;-7;0,75;0,4;0,75;0,4;0,35;5;4;2;3;3;1;3;1;2;1;0;0
