"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"762361";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";3;53;"Norbert Gombos";"R";193;"SVK";27,5;11;"Liam Broady";"L";183;"GBR";24,1;"7-6(6) 6-3";3;"Q1";108;8;4;72;41;35;15;11;3;3;6;2;74;43;30;17;10;5;6;144;385;164;336;7;6;NA;NA;NA;6;3;NA;NA;NA;2018-03-05;2018;"2018-M006:3";1;0;0,830074998557688;0,642447995381916;11;"Liam Broady";53;"Norbert Gombos";0,642447995381916;0,830074998557688;-0,187627003175772;24,1;27,5;-3,4;183;193;-10;1;0,833333333333333;0,833333333333333;1;-0,166666666666667;6;3;5;3;1;0;0;1;-1;0;0;1
"762362";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";4;4;"Felix Auger Aliassime";"R";193;"CAN";17,5;43;"Bjorn Fratangelo";"R";183;"USA";24,6;"6-4 6-4";3;"Q1";75;8;3;59;38;28;13;10;4;5;3;3;55;37;26;7;10;2;5;169;327;112;523;6;6;NA;NA;NA;4;4;NA;NA;NA;2018-03-05;2018;"2018-M006:4";2;1;0,599120563717816;1,1926450779424;4;"Felix Auger Aliassime";43;"Bjorn Fratangelo";0,599120563717816;1,1926450779424;-0,593524514224581;17,5;24,6;-7,1;193;183;10;0,8;0,4;0,8;0,4;0,4;5;5;2;4;3;1;3;1;2;0;0;1
"762370";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";12;9;"Matteo Berrettini";"R";196;"ITA";21,8;75;"Denis Kudla";"R";180;"USA";25,5;"6-4 7-5";3;"Q1";93;6;1;75;47;32;15;11;5;7;4;7;75;46;29;12;11;4;8;108;540;168;327;6;7;NA;NA;NA;4;5;NA;NA;NA;2018-03-05;2018;"2018-M006:12";3;1;1,24511249783653;0,607682577221239;9;"Matteo Berrettini";75;"Denis Kudla";1,24511249783653;0,607682577221239;0,637429920615292;21,8;25,5;-3,7;196;180;16;0,714285714285714;0,5;0,714285714285714;0,5;0,214285714285714;8;7;4;5;4;2;4;2;2;0;0;1
"762371";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";13;112;"Casper Ruud";"R";183;"NOR";19,2;79;"Henri Laaksonen";"R";185;"SUI";25,9;"6-1 6-4";3;"Q1";52;4;2;48;31;28;11;9;1;1;5;3;43;27;19;7;8;1;4;196;279;125;451;6;6;NA;NA;NA;1;4;NA;NA;NA;2018-03-05;2018;"2018-M006:13";4;0;0,385290155884792;1,03421571533791;79;"Henri Laaksonen";112;"Casper Ruud";1,03421571533791;0,385290155884792;0,648925559453121;25,9;19,2;6,7;185;183;2;1;0,25;0,25;1;-0,75;4;1;1;1;3;0;0;3;-3;0;0;1
"762384";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";26;4;"Felix Auger Aliassime";"R";193;"CAN";17,5;53;"Norbert Gombos";"R";193;"SVK";27,5;"2-6 7-6(4) 6-3";3;"Q2";142;10;4;108;60;41;24;14;6;10;7;4;96;61;42;15;15;4;8;169;327;144;385;2;7;6;NA;NA;6;6;3;NA;NA;2018-03-05;2018;"2018-M006:26";5;1;0,599120563717816;0,830074998557688;4;"Felix Auger Aliassime";53;"Norbert Gombos";0,599120563717816;0,830074998557688;-0,230954434839872;17,5;27,5;-10;193;193;0;0,6;0,5;0,6;0,5;0,1;8;10;4;6;4;4;4;4;0;0;0;1
"762387";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";29;24;"Taro Daniel";"R";191;"JPN";25,1;85;"Mackenzie Mcdonald";"R";178;"USA";22,8;"6-4 6-3";3;"Q2";71;1;0;58;32;24;16;10;3;4;4;2;46;27;19;11;9;2;5;109;539;142;397;6;6;NA;NA;NA;4;3;NA;NA;NA;2018-03-05;2018;"2018-M006:29";6;1;1,23181567522307;0,850252880495318;24;"Taro Daniel";85;"Mackenzie Mcdonald";1,23181567522307;0,850252880495318;0,381562794727756;25,1;22,8;2,3;191;178;13;0,75;0,4;0,75;0,4;0,35;5;4;2;3;3;1;3;1;2;0;0;1
"762388";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";30;103;"Peter Polansky";"R";180;"CAN";29,7;9;"Matteo Berrettini";"R";196;"ITA";21,8;"6-3 1-6 6-3";3;"Q2";124;5;3;82;47;32;18;12;3;6;6;2;82;46;31;18;13;4;8;134;412;108;540;6;1;6;NA;NA;3;6;3;NA;NA;2018-03-05;2018;"2018-M006:30";7;0;0,933910809542228;1,24511249783653;9;"Matteo Berrettini";103;"Peter Polansky";1,24511249783653;0,933910809542228;0,311201688294304;21,8;29,7;-7,9;196;180;16;0,5;0,5;0,5;0,5;0;8;6;4;3;4;3;3;4;-1;0;0;1
"762389";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";31;8;"Ricardas Berankis";"R";175;"LTU";27,7;112;"Casper Ruud";"R";183;"NOR";19,2;"2-6 6-2 6-2";3;"Q2";81;1;2;60;39;26;11;12;2;6;3;7;60;40;23;7;12;3;9;106;548;196;279;2;6;6;NA;NA;6;2;2;NA;NA;2018-03-05;2018;"2018-M006:31";8;1;1,2720795454368;0,385290155884792;8;"Ricardas Berankis";112;"Casper Ruud";1,2720795454368;0,385290155884792;0,88678938955201;27,7;19,2;8,5;175;183;-8;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0;9;6;3;2;6;4;6;4;2;0;0;1
"762397";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";39;57;"Pierre Hugues Herbert";"R";188;"FRA";26,9;118;"Gilles Simon";"R";183;"FRA";33,1;"6-7(8) 7-6(5) 6-3";3;"R128";172;14;10;135;85;65;21;17;6;8;1;2;114;82;55;16;16;2;5;93;610;70;765;6;7;6;NA;NA;7;6;3;NA;NA;2018-03-05;2018;"2018-M006:39";9;1;1,46084118889197;1,87071698305503;57;"Pierre Hugues Herbert";118;"Gilles Simon";1,46084118889197;1,87071698305503;-0,409875794163065;26,9;33,1;-6,2;188;183;5;0,75;0,4;0,75;0,4;0,35;5;8;2;6;3;2;3;2;1;0;0;1
"762398";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";40;88;"Gael Monfils";"R";193;"FRA";31,5;35;"Matthew Ebden";"R";188;"AUS";30,2;"6-3 6-3";3;"R128";71;6;2;58;34;23;13;9;2;3;1;5;61;33;20;11;9;2;6;42;1220;78;685;6;6;NA;NA;NA;3;3;NA;NA;NA;2018-03-05;2018;"2018-M006:40";10;0;2,60768257722124;1,71459778113775;35;"Matthew Ebden";88;"Gael Monfils";1,71459778113775;2,60768257722124;-0,893084796083488;30,2;31,5;-1,3;188;193;-5;0,666666666666667;0,333333333333333;0,333333333333333;0,666666666666667;-0,333333333333333;6;3;2;2;4;1;1;4;-3;0;0;1
