"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"817208";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";117;50;"Nick Kyrgios";"R";193;"AUS";24,7;79;"Lorenzo Sonego";"R";191;"ITA";24,6;"6-2 7-6(3) 7-6(1)";5;"R128";133;14;1;87;65;59;12;16;0;0;12;3;99;66;50;17;16;4;6;26;1520;53;990;6;7;7;NA;NA;2;6;6;NA;NA;2020-01-20;2020;"2020-580:117";1;1;3,29956028185891;2,2720795454368;50;"Nick Kyrgios";79;"Lorenzo Sonego";3,29956028185891;2,2720795454368;1,02748073642211;24,7;24,6;0,0999999999999979;193;191;2;1,5;0,666666666666667;1,5;0,666666666666667;0,833333333333333;6;0;4;0;2;0;2;0;2;0;0;1
"817214";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";123;8;"Aljaz Bedene";"R";181;"SLO";30,5;26;"James Duckworth";"R";183;"AUS";27,9;"6-4 6-7(5) 6-7(5) 6-2 6-4";5;"R128";236;28;4;157;92;80;40;26;6;6;21;15;191;101;80;41;26;5;9;55;950;94;588;6;6;6;6;6;4;7;7;2;4;2020-01-20;2020;"2020-580:123";2;1;2,21864028647534;1,44541114832236;8;"Aljaz Bedene";26;"James Duckworth";2,21864028647534;1,44541114832236;0,773229138152978;30,5;27,9;2,6;181;183;-2;1;0,555555555555556;1;0,555555555555556;0,444444444444444;9;6;5;6;4;0;4;0;4;0;0;1
"817219";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";128;81;"Dominic Thiem";"R";185;"AUT";26,3;52;"Adrian Mannarino";"L";183;"FRA";31,5;"6-3 7-5 6-2";5;"R128";141;7;4;96;57;44;21;15;6;7;5;3;86;49;28;19;14;5;10;5;5890;44;1111;6;7;6;NA;NA;3;5;2;NA;NA;2020-01-20;2020;"2020-580:128";3;0;5,67807190511264;2,5405683813627;52;"Adrian Mannarino";81;"Dominic Thiem";2,5405683813627;5,67807190511264;-3,13750352374994;31,5;26,3;5,2;183;185;-2;0,857142857142857;0,5;0,5;0,857142857142857;-0,357142857142857;10;7;5;6;5;1;1;5;-4;0;0;1
"817220";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";129;55;"Daniil Medvedev";"R";198;"RUS";23,9;83;"Frances Tiafoe";"R";188;"USA";21,9;"6-3 4-6 6-4 6-2";5;"R128";156;13;12;120;63;45;26;19;6;11;3;2;115;75;45;17;18;5;14;4;5960;50;1050;6;4;6;6;NA;3;6;4;2;NA;2020-01-20;2020;"2020-580:129";4;1;6;2,35614381022528;55;"Daniil Medvedev";83;"Frances Tiafoe";6;2,35614381022528;3,64385618977472;23,9;21,9;2;198;188;10;0,545454545454545;0,357142857142857;0,545454545454545;0,357142857142857;0,188311688311688;14;11;5;6;9;5;9;5;4;0;0;1
"817221";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";130;53;"Pedro Martinez";"R";185;"ESP";22,7;46;"Dominik Koepfer";"L";180;"GER";25,7;"6-3 6-4 7-5";5;"R128";129;1;3;93;60;44;20;16;6;7;10;1;99;72;50;11;15;6;10;168;300;89;609;6;6;7;NA;NA;3;4;5;NA;NA;2020-01-20;2020;"2020-580:130";5;0;0,607682577221239;1,5242665690336;46;"Dominik Koepfer";53;"Pedro Martinez";1,5242665690336;0,607682577221239;0,916583991812363;25,7;22,7;3;180;185;-5;0,857142857142857;0,6;0,6;0,857142857142857;-0,257142857142857;10;7;6;6;4;1;1;4;-3;0;0;1
"817222";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";131;60;"Jaume Munar";"R";183;"ESP";22,7;34;"Hugo Gaston";"L";173;"FRA";19,3;"7-5 5-7 6-0 6-3";5;"R128";209;2;2;148;95;62;25;20;12;17;5;1;149;96;60;16;19;19;28;90;608;247;189;7;5;6;6;NA;5;7;0;3;NA;2020-01-20;2020;"2020-580:131";6;0;1,50814690367033;0,0516327684153222;34;"Hugo Gaston";60;"Jaume Munar";0,0516327684153222;1,50814690367033;-1,456514135255;19,3;22,7;-3,4;173;183;-10;0,705882352941177;0,678571428571429;0,678571428571429;0,705882352941177;-0,0273109243697479;28;17;19;12;9;5;5;9;-4;0;0;1
"817224";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";133;41;"John Isner";"R";206;"USA";34,7;58;"Thiago Monteiro";"L";183;"BRA";25,6;"6-7(5) 7-6(4) 7-6(7) 7-6(5)";5;"R128";207;46;4;159;121;99;23;24;3;3;18;4;155;120;102;18;24;2;2;19;1860;86;640;6;7;7;7;NA;7;6;6;6;NA;2020-01-20;2020;"2020-580:133";7;1;3,75207248655641;1,5737352452979;41;"John Isner";58;"Thiago Monteiro";3,75207248655641;1,5737352452979;2,17833724125851;34,7;25,6;9,1;206;183;23;1;1;1;1;0;2;3;2;3;0;0;0;0;0;0;0;1
"817231";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";140;72;"Andrey Rublev";"R";188;"RUS";22,2;65;"Christopher Oconnell";"R";183;"AUS";25,6;"6-3 0-6 6-4 7-6(5)";5;"R128";135;8;2;101;61;46;23;19;1;6;15;3;134;85;63;22;18;11;15;16;2004;115;481;6;0;6;7;NA;3;6;4;6;NA;2020-01-20;2020;"2020-580:140";8;0;4;1,15450994905563;65;"Christopher Oconnell";72;"Andrey Rublev";1,15450994905563;4;-2,84549005094437;25,6;22,2;3,4;183;188;-5;0,166666666666667;0,733333333333333;0,733333333333333;0,166666666666667;0,566666666666667;15;6;11;1;4;5;5;4;1;0;0;1
"817232";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";141;6;"Nikoloz Basilashvili";"R";185;"GEO";27,9;49;"Soon Woo Kwon";"R";180;"KOR";22,1;"6-7(5) 6-4 7-5 3-6 6-3";5;"R128";235;22;4;193;109;80;37;26;11;16;14;4;173;116;75;28;26;11;18;29;1485;87;637;6;6;7;3;6;7;4;5;6;3;2020-01-20;2020;"2020-580:141";9;1;3,14201900487243;1,55705650415127;6;"Nikoloz Basilashvili";49;"Soon Woo Kwon";3,14201900487243;1,55705650415127;1,58496250072116;27,9;22,1;5,8;185;180;5;0,6875;0,611111111111111;0,6875;0,611111111111111;0,0763888888888888;18;16;11;11;7;5;7;5;2;0;0;1
"817235";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";144;89;"Alexander Zverev";"R";198;"GER";22,7;15;"Marco Cecchinato";"R";185;"ITA";27,3;"6-4 7-6(4) 6-3";5;"R128";143;8;4;109;92;66;8;16;8;11;3;1;115;73;44;20;15;7;12;7;3345;77;710;6;7;6;NA;NA;4;6;3;NA;NA;2020-01-20;2020;"2020-580:144";10;0;5,1926450779424;1,7332134593051;15;"Marco Cecchinato";89;"Alexander Zverev";1,7332134593051;5,1926450779424;-3,4594316186373;27,3;22,7;4,6;185;198;-13;0,727272727272727;0,583333333333333;0,583333333333333;0,727272727272727;-0,143939393939394;12;11;7;8;5;3;3;5;-2;0;0;1
