"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"310042";"2000-560";"US Open";"Hard";"128";"Grand Slams";218;72;"Juan Carlos Ferrero";"R";183;"ESP";20,5;70;"Roger Federer";"R";185;"SUI";19;"7-5 7-6(6) 1-6 7-6(6)";5;"R32";173;4;10;151;81;55;36;22;3;9;14;7;135;75;60;30;21;8;12;12;1619;40;892;7;7;1;7;NA;5;6;6;6;NA;2000-08-28;2000;"2000-560:218";1;0;4,41503749927884;2,67807190511264;70;"Roger Federer";72;"Juan Carlos Ferrero";2,67807190511264;4,41503749927884;-1,73696559416621;19;20,5;-1,5;185;183;2;0,333333333333333;0,666666666666667;0,666666666666667;0,333333333333333;0,333333333333333;12;9;8;3;4;6;6;4;2;0;0;1
"325682";"2001-540";"Wimbledon";"Grass";"128";"Grand Slams";180;70;"Roger Federer";"R";185;"SUI";19,8;145;"Xavier Malisse";"R";185;"BEL";20,9;"6-3 7-5 3-6 4-6 6-3";5;"R64";149;10;1;172;113;75;32;25;22;26;8;4;122;79;60;27;24;3;8;15;1580;53;737;6;7;3;4;6;3;5;6;6;3;2001-06-25;2001;"2001-540:180";2;1;4,09310940439148;2,2720795454368;70;"Roger Federer";145;"Xavier Malisse";4,09310940439148;2,2720795454368;1,82102985895468;19,8;20,9;-1,1;185;185;0;0,846153846153846;0,375;0,846153846153846;0,375;0,471153846153846;8;26;3;22;5;4;5;4;1;1;0;0
"330360";"2001-560";"US Open";"Hard";"128";"Grand Slams";205;70;"Roger Federer";"R";185;"SUI";20;86;"Robby Ginepri";"R";183;"USA";18,8;"6-2 7-5 6-1";5;"R64";85;16;2;83;55;44;16;14;5;5;1;8;89;46;29;18;13;4;10;13;1815;327;92;6;7;6;NA;NA;2;5;1;NA;NA;2001-08-27;2001;"2001-560:205";3;1;4,29956028185891;-0,353146825498083;70;"Roger Federer";86;"Robby Ginepri";4,29956028185891;-0,353146825498083;4,65270710735699;20;18,8;1,2;185;183;2;1;0,4;1;0,4;0,6;10;5;4;5;6;0;6;0;6;0;0;1
"337246";"2002-580";"Australian Open";"Hard";"128";"Grand Slams";211;70;"Roger Federer";"R";185;"SUI";20,4;202;"Rainer Schuettler";"R";180;"GER";25,7;"7-6(6) 7-6(5) 6-4";5;"R32";137;7;1;105;66;50;24;17;0;2;3;4;120;69;49;25;17;4;7;12;1845;41;955;7;7;6;NA;NA;6;6;4;NA;NA;2002-01-14;2002;"2002-580:211";4;1;4,41503749927884;2,64244799538192;70;"Roger Federer";202;"Rainer Schuettler";4,41503749927884;2,64244799538192;1,77258950389693;20,4;25,7;-5,3;185;180;5;0;0,571428571428571;0;0,571428571428571;-0,571428571428571;7;2;4;0;3;2;3;2;1;0;0;1
"337261";"2002-580";"Australian Open";"Hard";"128";"Grand Slams";226;97;"Tommy Haas";"R";188;"GER";23,7;70;"Roger Federer";"R";185;"SUI";20,4;"7-6(3) 4-6 3-6 6-4 8-6";5;"R16";215;11;4;172;90;66;49;27;6;10;25;6;175;106;79;35;28;11;14;9;2150;12;1845;7;4;3;6;8;6;6;6;4;6;2002-01-14;2002;"2002-580:226";5;0;4,83007499855769;4,41503749927884;70;"Roger Federer";97;"Tommy Haas";4,41503749927884;4,83007499855769;-0,415037499278844;20,4;23,7;-3,3;185;188;-3;0,6;0,785714285714286;0,785714285714286;0,6;0,185714285714286;14;10;11;6;3;4;4;3;1;0;0;1
"344251";"2002-520";"Roland Garros";"Clay";"128";"Grand Slams";185;97;"Tommy Haas";"R";188;"GER";24,1;140;"Feliciano Lopez";"L";188;"ESP";20,6;"6-3 6-4 6-4";5;"R64";98;5;6;79;38;32;24;15;2;4;9;5;84;46;34;15;14;5;10;3;2880;111;347;6;6;6;NA;NA;3;4;4;NA;NA;2002-05-27;2002;"2002-520:185";6;1;6,41503749927884;1,20558413364989;97;"Tommy Haas";140;"Feliciano Lopez";6,41503749927884;1,20558413364989;5,20945336562895;24,1;20,6;3,5;188;188;0;0,5;0,5;0,5;0,5;0;10;4;5;2;5;2;5;2;3;0;1;0
"346510";"2002-540";"Wimbledon";"Grass";"128";"Grand Slams";128;4;"Mario Ancic";"R";196;"CRO";18,2;70;"Roger Federer";"R";185;"SUI";20,8;"6-3 7-6(2) 6-3";5;"R128";100;5;3;96;51;45;25;16;5;6;1;8;86;47;36;18;14;3;6;154;244;9;2160;6;7;6;NA;NA;3;6;3;NA;NA;2002-06-24;2002;"2002-540:128";7;1;0,733213459305099;4,83007499855769;4;"Mario Ancic";70;"Roger Federer";0,733213459305099;4,83007499855769;-4,09686153925259;18,2;20,8;-2,6;196;185;11;0,833333333333333;0,5;0,833333333333333;0,5;0,333333333333333;6;6;3;5;3;1;3;1;2;1;0;0
"346597";"2002-540";"Wimbledon";"Grass";"128";"Grand Slams";215;140;"Feliciano Lopez";"L";188;"ESP";20,7;202;"Rainer Schuettler";"R";180;"GER";26,1;"3-6 7-6(7) 6-4 6-4";5;"R32";139;17;7;128;77;61;23;20;3;6;11;2;121;84;65;19;21;9;13;103;369;24;1235;3;7;6;6;NA;6;6;4;4;NA;2002-06-24;2002;"2002-540:215";8;1;1,31349947281678;3,41503749927884;140;"Feliciano Lopez";202;"Rainer Schuettler";1,31349947281678;3,41503749927884;-2,10153802646206;20,7;26,1;-5,4;188;180;8;0,5;0,692307692307692;0,5;0,692307692307692;-0,192307692307692;13;6;9;3;4;3;4;3;1;1;0;0
"351319";"2002-560";"US Open";"Hard";"128";"Grand Slams";214;70;"Roger Federer";"R";185;"SUI";21;145;"Xavier Malisse";"R";185;"BEL";22,1;"4-6 6-3 6-4 6-4";5;"R32";133;8;4;112;62;48;29;20;3;6;4;6;119;65;44;30;19;8;13;13;1925;19;1410;4;6;6;6;NA;6;3;4;4;NA;2002-08-26;2002;"2002-560:214";9;1;4,29956028185891;3,75207248655641;70;"Roger Federer";145;"Xavier Malisse";4,29956028185891;3,75207248655641;0,547487795302493;21;22,1;-1,1;185;185;0;0,5;0,615384615384615;0,5;0,615384615384615;-0,115384615384615;13;6;8;3;5;3;5;3;2;0;0;1
"357018";"2003-580";"Australian Open";"Hard";"128";"Grand Slams";125;235;"Mikhail Youzhny";"R";183;"RUS";20,5;82;"Richard Gasquet";"R";185;"FRA";16,5;"3-6 6-0 6-1 6-4";5;"R128";125;4;4;97;61;46;18;16;6;8;0;6;98;49;31;19;16;5;12;31;1090;156;245;3;6;6;6;NA;6;0;1;4;NA;2003-01-13;2003;"2003-580:125";10;0;3,04580368961313;0,714597781137751;82;"Richard Gasquet";235;"Mikhail Youzhny";0,714597781137751;3,04580368961313;-2,33120590847537;16,5;20,5;-4;185;183;2;0,75;0,416666666666667;0,416666666666667;0,75;-0,333333333333333;12;8;5;6;7;2;2;7;-5;0;0;1
