"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"340157";"2002-403";"Miami Masters";"Hard";"96";"Masters";21;149;"Feliciano Lopez";"L";188;"ESP";20,4;155;"Xavier Malisse";"R";185;"BEL";21,6;"0-6 7-5 6-4";3;"R128";97;3;6;86;47;33;13;14;3;8;4;5;69;37;28;17;14;1;5;126;319;35;1030;0;7;6;NA;NA;6;5;4;NA;NA;2002-03-18;2002;"2002-403:21";1;1;1,02272007650008;2,87071698305503;149;"Feliciano Lopez";155;"Xavier Malisse";1,02272007650008;2,87071698305503;-1,84799690655495;20,4;21,6;-1,2;188;185;3;0,375;0,2;0,375;0,2;0,175;5;8;1;3;4;5;4;5;-1;0;0;1
"341455";"2002-410";"Monte Carlo Masters";"Clay";"64";"Masters";36;209;"Marat Safin";"R";193;"RUS";22,2;84;"Richard Gasquet";"R";185;"FRA";15,8;"6-4 6-1";3;"R32";71;0;3;54;32;25;13;8;8;8;1;5;57;25;14;16;9;2;6;6;2500;589;29;6;6;NA;NA;NA;4;1;NA;NA;NA;2002-04-15;2002;"2002-410:36";2;0;3,41503749927884;-3,20212382383046;84;"Richard Gasquet";209;"Marat Safin";-3,20212382383046;3,41503749927884;-6,6171613231093;15,8;22,2;-6,4;185;193;-8;1;0,333333333333333;0,333333333333333;1;-0,666666666666667;6;8;2;8;4;0;0;4;-4;0;1;0
"343025";"2002-414";"Hamburg Masters";"Clay";"64";"Masters";1;108;"Lleyton Hewitt";"R";180;"AUS";21,2;128;"Philipp Kohlschreiber";"R";178;"GER";18,5;"7-5 6-4";3;"R64";105;1;2;70;47;30;13;11;2;4;5;1;76;37;24;18;11;5;9;1;4595;426;63;7;6;NA;NA;NA;5;4;NA;NA;NA;2002-05-13;2002;"2002-414:1";3;1;6;-2,73470962022584;108;"Lleyton Hewitt";128;"Philipp Kohlschreiber";6;-2,73470962022584;8,73470962022584;21,2;18,5;2,7;180;178;2;0,5;0,555555555555556;0,5;0,555555555555556;-0,0555555555555556;9;4;5;2;4;2;4;2;2;0;1;0
"354091";"2002-1536";"Madrid Masters";"Hard";"48";"Masters";15;149;"Feliciano Lopez";"L";188;"ESP";21;39;"Arnaud Clement";"R";173;"FRA";24,8;"7-6(5) 3-6 6-4";3;"R64";118;17;7;93;54;46;16;16;3;6;7;5;88;47;35;25;15;4;6;71;556;40;860;7;3;6;NA;NA;6;6;4;NA;NA;2002-10-14;2002;"2002-1536:15";4;0;-0,149747119504682;0,678071905112637;39;"Arnaud Clement";149;"Feliciano Lopez";0,678071905112637;-0,149747119504682;0,82781902461732;24,8;21;3,8;173;188;-15;0,5;0,666666666666667;0,666666666666667;0,5;0,166666666666667;6;6;4;3;2;3;3;2;1;0;0;1
"359866";"2003-404";"Indian Wells Masters";"Hard";"64";"Masters";45;202;"Andy Roddick";"R";188;"USA";20,5;149;"Feliciano Lopez";"L";188;"ESP";21,4;"6-4 6-3";3;"R32";54;7;3;45;28;24;12;9;0;0;7;5;50;21;14;18;10;4;7;6;2275;63;643;6;6;NA;NA;NA;4;3;NA;NA;NA;2003-03-10;2003;"2003-404:45";5;0;3,41503749927884;0,0227200765000832;149;"Feliciano Lopez";202;"Andy Roddick";0,0227200765000832;3,41503749927884;-3,39231742277876;21,4;20,5;0,899999999999999;188;188;0;1,5;0,571428571428571;0,571428571428571;1,5;-0,928571428571429;7;0;4;0;3;0;0;3;-3;0;0;1
"360200";"2003-403";"Miami Masters";"Hard";"96";"Masters";68;173;"Carlos Moya";"R";190;"ESP";26,5;242;"Fernando Verdasco";"L";188;"ESP";19,3;"7-6(5) 6-3";3;"R32";83;3;1;54;28;24;17;10;0;1;2;3;75;51;28;15;11;4;7;5;2625;160;235;7;6;NA;NA;NA;6;3;NA;NA;NA;2003-03-17;2003;"2003-403:68";6;1;5,67807190511264;0,678071905112637;173;"Carlos Moya";242;"Fernando Verdasco";5,67807190511264;0,678071905112637;5;26,5;19,3;7,2;190;188;2;0;0,571428571428571;0;0,571428571428571;-0,571428571428571;7;1;4;0;3;1;3;1;2;0;0;1
"361413";"2003-410";"Monte Carlo Masters";"Clay";"64";"Masters";16;180;"David Nalbandian";"R";180;"ARG";21,2;84;"Richard Gasquet";"R";185;"FRA";16,8;"6-4 6-0";3;"R64";65;0;1;56;33;20;15;8;4;5;1;2;44;26;16;2;8;4;9;12;1805;115;327;6;6;NA;NA;NA;4;0;NA;NA;NA;2003-04-14;2003;"2003-410:16";7;0;2,41503749927884;-0,845490050944375;84;"Richard Gasquet";180;"David Nalbandian";-0,845490050944375;2,41503749927884;-3,26052755022322;16,8;21,2;-4,4;185;180;5;0,8;0,444444444444444;0,444444444444444;0,8;-0,355555555555556;9;5;4;4;5;1;1;5;-4;0;1;0
"363584";"2003-414";"Hamburg Masters";"Clay";"64";"Masters";31;178;"Rafael Nadal";"L";185;"ESP";16,9;160;"Paul Henri Mathieu";"R";185;"FRA";21,3;"7-5 6-4";3;"R64";102;2;1;81;66;44;6;11;8;10;2;1;57;38;26;9;11;3;7;87;486;44;855;7;6;NA;NA;NA;5;4;NA;NA;NA;2003-05-12;2003;"2003-414:31";8;0;-0,442943495848728;0,540568381362703;160;"Paul Henri Mathieu";178;"Rafael Nadal";0,540568381362703;-0,442943495848728;0,983511877211431;21,3;16,9;4,4;185;185;0;0,8;0,428571428571429;0,428571428571429;0,8;-0,371428571428571;7;10;3;8;4;2;2;4;-2;0;1;0
"363601";"2003-414";"Hamburg Masters";"Clay";"64";"Masters";48;178;"Rafael Nadal";"L";185;"ESP";16,9;173;"Carlos Moya";"R";190;"ESP";26,7;"7-5 6-4";3;"R32";89;1;0;63;53;30;7;11;2;5;3;0;64;36;25;11;11;4;9;87;486;4;2985;7;6;NA;NA;NA;5;4;NA;NA;NA;2003-05-12;2003;"2003-414:48";9;0;-0,442943495848728;4;173;"Carlos Moya";178;"Rafael Nadal";4;-0,442943495848728;4,44294349584873;26,7;16,9;9,8;190;185;5;0,4;0,444444444444444;0,444444444444444;0,4;0,0444444444444444;9;5;4;2;5;3;3;5;-2;0;1;0
"363609";"2003-414";"Hamburg Masters";"Clay";"64";"Masters";56;86;"Gaston Gaudio";"R";175;"ARG";24,4;178;"Rafael Nadal";"L";185;"ESP";16,9;"6-2 6-2";3;"R16";59;3;1;40;25;22;10;8;0;0;1;2;48;35;18;7;8;2;6;29;1080;87;486;6;6;NA;NA;NA;2;2;NA;NA;NA;2003-05-12;2003;"2003-414:56";10;1;1,14201900487243;-0,442943495848728;86;"Gaston Gaudio";178;"Rafael Nadal";1,14201900487243;-0,442943495848728;1,58496250072116;24,4;16,9;7,5;175;185;-10;1,5;0,333333333333333;1,5;0,333333333333333;1,16666666666667;6;0;2;0;4;0;4;0;4;0;1;0
