"";"player_name";"wins";"losses";"total_matches_played";"wins_percentage"
"189";"Novak Djokovic";361;78;439;82,23
"204";"Rafael Nadal";358;80;438;81,74
"36";"Carlos Alcaraz";24;9;33;72,73
"215";"Roger Federer";129;51;180;71,67
"75";"Fernando Gonzalez";14;6;20;70
"20";"Andy Murray";201;87;288;69,79
"11";"Alexander Zverev";98;47;145;67,59
"228";"Stefanos Tsitsipas";71;35;106;66,98
"97";"Hugo Dellien";10;5;15;66,67
"176";"Milos Raonic";116;62;178;65,17
"40";"Christopher Eubanks";9;5;14;64,29
"47";"Daniil Medvedev";63;35;98;64,29
"110";"James Duckworth";18;10;28;64,29
"94";"Holger Rune";12;7;19;63,16
"113";"Jannik Sinner";27;16;43;62,79
"138";"Kei Nishikori";106;63;169;62,72
"39";"Casper Ruud";43;26;69;62,32
"21";"Andy Roddick";23;14;37;62,16
"132";"Juan Martin del Potro";46;28;74;62,16
"96";"Hubert Hurkacz";48;30;78;61,54
"237";"Thiemo De Bakker";8;5;13;61,54
"180";"Nick Kyrgios";50;32;82;60,98
"35";"Cameron Norrie";40;26;66;60,61
"244";"Tommy Paul";32;21;53;60,38
"125";"John Isner";137;91;228;60,09
"55";"Dmitry Tursunov";9;6;15;60
"109";"James Blake";16;11;27;59,26
"206";"Reilly Opelka";30;21;51;58,82
"85";"Gael Monfils";103;73;176;58,52
"243";"Tommy Haas";19;14;33;57,58
"56";"Dominic Thiem";66;49;115;57,39
"252";"Yoshihito Nishioka";40;30;70;57,14
"225";"Stan Wawrinka";140;106;246;56,91
"53";"Denis Shapovalov";48;37;85;56,47
"146";"Lorenzo Musetti";18;14;32;56,25
"211";"Roberto Bautista Agut";90;71;161;55,9
"49";"David Goffin";86;68;154;55,84
"48";"David Ferrer";72;58;130;55,38
"209";"Richard Gasquet";119;96;215;55,35
"158";"Marcos Giron";26;21;47;55,32
"90";"Grigor Dimitrov";104;85;189;55,03
"117";"Jenson Brooksby";11;9;20;55
"4";"Alejandro Davidovich Fokina";23;19;42;54,76
"245";"Tommy Robredo";30;25;55;54,55
"12";"Alexandr Dolgopolov";29;25;54;53,7
"19";"Andrey Rublev";46;40;86;53,49
"221";"Sebastian Korda";16;14;30;53,33
"232";"Taylor Fritz";48;42;90;53,33
"30";"Borna Coric";57;50;107;53,27
"122";"Jo-Wilfried Tsonga";52;46;98;53,06
